content_category_brid.content_id,content_category_brid.category_id,content_category_brid.content_type_key,content_category_brid.content_key,content_category_brid.category_key,content_category_brid.status,content_category_brid.updated_time,content_category_brid.last_mofidied
30583,100,1,13394,62,ACT,2021-03-25 07:37:03.0,2021-03-25 11:21:14.0
30583,141,1,13394,42,ACT,2021-03-25 07:37:03.0,2021-03-25 11:21:14.0
30585,79,1,13393,100,ACT,2021-03-25 07:39:45.0,2021-03-25 11:21:14.0
30585,146,1,13393,45,ACT,2021-03-25 07:39:45.0,2021-03-25 11:21:14.0
30585,149,1,13393,76,ACT,2021-03-25 07:39:45.0,2021-03-25 11:21:14.0
30588,43,1,13391,88,ACT,2021-03-25 07:39:49.0,2021-03-25 11:21:14.0
30588,71,1,13391,41,ACT,2021-03-25 07:39:49.0,2021-03-25 11:21:14.0
30591,309,1,13392,1,ACT,2021-03-25 08:57:13.0,2021-03-25 11:21:14.0
30591,310,1,13392,1,ACT,2021-03-25 08:57:13.0,2021-03-25 11:21:14.0
30594,309,1,13399,1,ACT,2021-03-26 07:46:24.0,2021-03-26 11:21:13.0
30595,79,1,13398,100,ACT,2021-03-26 07:46:27.0,2021-03-26 11:21:13.0
30595,147,1,13398,105,ACT,2021-03-26 07:46:27.0,2021-03-26 11:21:13.0
30565,79,1,13397,100,ACT,2021-03-26 08:57:00.0,2021-03-26 11:21:13.0
30565,146,1,13397,45,ACT,2021-03-26 08:57:00.0,2021-03-26 11:21:13.0
30565,149,1,13397,76,ACT,2021-03-26 08:57:00.0,2021-03-26 11:21:13.0
30565,150,1,13397,46,ACT,2021-03-26 08:57:00.0,2021-03-26 11:21:13.0
30610,79,1,13409,100,ACT,2021-03-26 16:59:46.0,2021-03-28 11:21:13.0
30610,146,1,13409,45,ACT,2021-03-26 16:59:46.0,2021-03-28 11:21:13.0
30610,149,1,13409,76,ACT,2021-03-26 16:59:46.0,2021-03-28 11:21:13.0
30610,153,1,13409,106,ACT,2021-03-26 16:59:46.0,2021-03-28 11:21:13.0
30613,79,1,13414,100,ACT,2021-03-29 07:47:54.0,2021-03-29 11:21:14.0
30613,146,1,13414,45,ACT,2021-03-29 07:47:54.0,2021-03-29 11:21:14.0
30613,149,1,13414,76,ACT,2021-03-29 07:47:54.0,2021-03-29 11:21:14.0
30613,153,1,13414,106,ACT,2021-03-29 07:47:54.0,2021-03-29 11:21:14.0
30616,43,1,13411,88,ACT,2021-03-29 08:31:09.0,2021-03-29 11:21:14.0
30616,71,1,13411,41,ACT,2021-03-29 08:31:09.0,2021-03-29 11:21:14.0
30616,83,1,13411,49,ACT,2021-03-29 08:31:09.0,2021-03-29 11:21:14.0
30633,71,1,13412,41,ACT,2021-03-29 08:31:15.0,2021-03-29 11:21:14.0
30633,315,1,13412,1,ACT,2021-03-29 08:31:15.0,2021-03-29 11:21:14.0
30649,79,1,13413,100,ACT,2021-03-29 08:34:44.0,2021-03-29 11:21:14.0
30649,147,1,13413,105,ACT,2021-03-29 08:34:44.0,2021-03-29 11:21:14.0
