category_dim.category_key,category_dim.category_id,category_dim.category_name,category_dim.parent_key,category_dim.parent_id,category_dim.content_type_key,category_dim.ordering,category_dim.status,category_dim.created_time,category_dim.created_by,category_dim.updated_time,category_dim.updated_by,category_dim.cmc_id,category_dim.valid_from,category_dim.valid_to,category_dim.version,category_dim.current,category_dim.last_mofidied
194,332,Linh dị ,1,0,1,0,ACT,2022-08-15 14:35:53.0,214,2022-08-15 14:35:53.0,214,332,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-08-16 03:15:52.0
203,345,Kỹ năng,1,0,1,0,ACT,2022-10-11 00:57:20.0,287,2022-10-11 00:57:20.0,287,345,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-14 02:38:53.0
195,320,Ngôn tình,1,0,1,0,ACT,2022-08-15 14:11:48.0,214,2022-08-15 14:11:48.0,214,320,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-08-16 03:15:52.0
196,329,Trinh thám ,1,0,1,0,ACT,2022-08-15 14:35:06.0,214,2022-08-15 14:35:06.0,214,329,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-08-16 03:15:52.0
197,335,Đam mỹ ,1,0,1,0,ACT,2022-08-15 14:36:18.0,214,2022-08-15 14:36:18.0,214,335,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-08-16 03:15:52.0
198,338,Chữa lành tâm hồn,1,0,1,0,ACT,2022-08-15 14:36:18.0,214,2022-10-10 21:53:15.0,214,338,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-14 02:38:53.0
199,341,Kinh tế,1,0,1,0,ACT,2022-10-11 00:55:11.0,214,2022-10-11 00:55:11.0,214,341,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-13 02:41:51.0
200,342,Chính trị,1,0,1,0,ACT,2022-10-11 00:56:23.0,214,2022-10-11 00:56:23.0,214,342,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-13 02:41:51.0
201,343,Lịch sử,1,0,1,0,ACT,2022-10-11 00:56:36.0,214,2022-10-11 00:56:36.0,214,343,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-13 02:41:51.0
202,348,Văn hóa,1,0,1,0,ACT,2022-10-11 10:04:07.0,214,2022-10-11 10:04:07.0,214,348,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-11-05 01:29:43.0
204,352,Chữa lành,1,0,1,0,ACT,2022-10-11 10:04:07.0,248,2022-10-11 10:04:07.0,248,352,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-14 02:38:53.0
