publishing_house_dim.publishing_house_key,publishing_house_dim.publishing_house_id,publishing_house_dim.publishing_house_name,publishing_house_dim.publishing_house_addr,publishing_house_dim.publishing_house_website,publishing_house_dim.ordering,publishing_house_dim.status,publishing_house_dim.created_time,publishing_house_dim.created_by,publishing_house_dim.updated_time,publishing_house_dim.updated_by,publishing_house_dim.cmc_id,publishing_house_dim.valid_from,publishing_house_dim.valid_to,publishing_house_dim.version,publishing_house_dim.current,publishing_house_dim.last_mofidied
385,835,Bỉ Ngạn đơm hương_娘子万安,N/A,N/A,0,ACT,2021-06-11 08:42:36.0,214,2021-06-11 08:42:36.0,214,835,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
386,838,Trêu chọc vượt giới_越界招惹,N/A,N/A,0,ACT,2021-06-15 07:41:06.0,214,2021-06-15 07:41:06.0,214,838,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
387,849,Ngọa Lan,N/A,N/A,0,ACT,2021-07-13 10:50:45.0,214,2021-07-13 10:50:45.0,214,849,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
388,850,Trấn Hồn quan_暗夜夫宠之司君要命,N/A,N/A,0,ACT,2021-07-23 08:09:14.0,214,2021-07-23 08:09:14.0,214,850,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
389,853,Nguyễn Thành Nhân,N/A,N/A,0,ACT,2021-07-23 21:41:42.0,214,2021-07-23 21:41:42.0,214,853,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
390,855,Cung đấu không bằng về vườn_锦乡里,N/A,N/A,0,ACT,2021-08-03 22:24:19.0,214,2021-08-03 22:24:19.0,214,855,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
391,858,Yêu em 3000 lần_人间不及你眉眼,N/A,N/A,0,ACT,2021-08-10 16:20:17.0,214,2021-08-10 16:20:17.0,214,858,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
392,861,Kỳ thi chết chóc_魔鬼考卷,N/A,N/A,0,ACT,2021-08-13 17:58:54.0,214,2021-08-13 17:58:54.0,214,861,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
393,862,Phạm Hoàng Phương Thảo_Kỳ thi CC_FLC_TB_082021,N/A,N/A,0,ACT,2021-08-13 18:01:21.0,214,2021-08-13 19:10:48.0,214,862,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
394,865,Ngô An Kha,N/A,N/A,0,ACT,2021-08-17 17:20:04.0,214,2021-08-17 17:20:04.0,214,865,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
